trialId,publicTitle,secondaryId,scientificTitle,inclusionCriteria,exclusionCriteria,interventions,primarySponsor,healthConditions,publicContactAffiliation,scientificContactAffiliation
ACTRN12614000042640,PROTECT-ICD Trial: Programmed Ventricular Stimulation to Risk Stratify for Early Cardioverter-Defibrillator (ICD) Implantation to Prevent Tachyarrhythmias following Acute Myocardial Infarction,None;,PROTECT-ICD Trial: A study targeting prevention of sudden cardiac death in patients who have reduced cardiac function following a myocardial infarct by assessing whether electrophysiologic study to guide prophylactic implantation of an implantable cardioverter-defibrillator (ICD) early following myocardial infarction (first 40 days) will lead to a significant reduction in sudden cardiac death.,"•	die in den letzten 2 - 40 Tagen einen Myokardinfarkt hatten
•	die eine reduzierte Herzfunktion haben
•	die bereit sind, eine schriftliche Einverständniserklärung zur Freigabe ihrer Daten abzugeben.","•	Personen die jünger als 18 oder älter als 85 Jahre alt sind
•	Personen die bereits einen ICD erhalten haben
•	Schwangere Frauen","The intervention group all undergo electrophysiologic study early after myocardial infarction (within 40 days of MI). The electrophysiology study is done in a hospital laboratory by a specialist cardiologist under local anaesthetic and sedation given through a cannula. A sheath will be placed into the vein in the groin. The Cardiologist will then place 2 electrode catheters into the heart with the use of x-ray images to carefully guide the catheters into the proper areas. The electrode catheters will be used to stimulate the heart and record the electrical activity. This test will take approximately one hour. The patient will generally stay overnight in hospital and go home the next day.
<br>If the study is positive (inducible monomorphic ventricular tachycardia of cycle length less than or equal to 200ms) participants have an ICD implanted. Participants with a negative study (no inducible arrhythmia or induced ventricular fibrillation/ ventricular flutter cycle length <200ms) are discharged without an ICD. 
<br>Implantation of an ICD device involves positioning leads in the heart and placing a box device under the skin, usually in the shoulder area. The procedure is done in a hospital laboratory by a specialist cardiologist under local anaesthetic and with sedation through an intravenous cannula. The leads are inserted through a small incision, usually near the collarbone. X-ray images are used to guide the lead/s into the heart. These leads are attached to the device box which is then placed just beneath the skin and the incision closed with stitches. The patient will often stay overnight in hospital and go home the next day. The device remains in situ for the remainder of the patient's life, barring any complications that would require it's removal.
<br>
<br>At select centres a proportion of trial patients at >48 hours following revascularisation for myocardial infarction will also undergo cardiac magnetic resonance imaging (CMR). This is a non-invasive painless test which does not involve any radiation. A series of images will be taken of the heart while positioned on a moveable examination table. The test will take 30-45 minutes and in most cases will involve injection of a contrast material into an intravenous line. <br>",Other Collaborative groups Western Sydney Local Health District,Sudden cardiac death<br>,nan,nan
ACTRN12616000648426,"Bioequivalence study of a generic formulation of cysteamine bitartrate (Rec 0/0462, 150 mg immediate release capsules) versus the marketed Cystagon Registered Trademark, 150 mg immediate release capsules",CRO-14-119,"Bioequivalence study of a generic formulation of cysteamine bitartrate (Rec 0/0462, 150 mg immediate release capsules) versus the marketed Cystagon Registered Trademark, 150 mg immediate release capsules, in healthy volunteers administered a single 600 mg doseSingle centre, single dose, randomised, open, two way, two period, cross-over, two stage bioequivalence study","- firma del consenso informato scritto prima dell’esecuzione di qualsiasi procedura correlata allo studio;
- maschi o femmine di età compresa tra i 18 e i 45 anni e indice di massa corporea compreso tra 18.5 kg/m2 e 30 kg/m2;
- pressione sistolica compresa tra 100 e 139 mmHg, diastolica compresa tra 50 e 89 mmHg e frequenza cardiaca compresa tra 50 e 90 battiti al minuto, misurati dopo 5 minuti di riposo in posizione seduta; 
- comprensione della natura e dello scopo dello studio, inclusi i possibili rischi ed eventi avversi; capacità di collaborare con il medico Sperimentatore e di seguire le procedure previste durante tutta la durata dello studio;
- soggetti non fumatori o ex-fumatori da almeno 2 anni;
- donne fertili disposte ad utilizzare un doppio metodo contraccettivo efficace (barriera meccanica piu’ un altro metodo efficace). Donne sterili  da piu’ di 3 mesi o, se in post-menopausa, da almeno 2 anni.","- ECG (12 derivazioni, in posizione supina) con alterazioni clinicamente significative o: 
- un intervallo PQ inferiore a 120 msec o superiore a 220 msec,
- una durata del QRS inferiore a 75 msec o superiore a 120 msec,
- un valore di QTcB misurato manualmente superiore a 440 msec.
-alterazioni delle condizioni fisiche clinicamente significative;
-valori di laboratorio con alterazioni clinicamente significative e indicative di una condizione patologica concomitante;
-ipersensibilità accertata o presunta al principio attivo e/o agli eccipienti dei farmaci in studio o alla penicillamina, storia di anafilassi ai farmaci o in generale reazioni allergiche, non compatibili con lo studio; 
-malattie renali, epatiche, gastrointestinali (in particolare sanguinamenti gastrointestinali o patologie croniche gastrointestinali), cardiovascolari, respiratorie, cutanee, ematologiche, endocrine o malattie neurologiche significative, non compatibili con lo studio; 
- farmaci, inclusi farmaci da banco (senza obbligo di prescrizione) e prodotti erboristici nelle 2 settimane precedenti lo studio, in particolare trattamenti per l’HIV o per l’epatite negli ultimi 3 mesi. 
-partecipazione ad altri studi clinici con farmaci sperimentali nei 3 mesi precedenti l’inizio dello studio, calcolati partendo dal primo giorno del mese successivo all’ultima visita dello studio precedente; 
- donazioni di sangue nei 3 mesi precedenti l’inizio dello studio;
- uso di stupefacenti;
- abuso di bevande alcoliche (non più di 1 bicchiere al giorno per le donne e non più di 2 bicchieri al giorno per gli uomini) o di bevande che contengono caffeina, quali caffè, tè (non più di 5 tazze al giorno);
- dieta sbilanciata (<1.600 o >3.500 kcal/giorno) o variazioni significative nelle abitudini alimentari nelle 4 settimane precedenti lo studio; dieta vegetariana; 
- positività al test delle droghe eseguito allo screening o al giorno -1;
- test etilico positivo al giorno -1;
- gravidanza o allattamento;
- se donna, test di gravidanza positivo allo screening o al giorno -1.","Test (T): Rec 0/0462, 150 mg cysteamine free base (as bitartate salt) immediate release capsules<br>Reference (R): Cystagon Registered Trademark, 150 mg cysteamine free base (as bitartrate salt) immediate release capsules<br><br>Two single doses of 600 mg of cysteamine base (as bitartrate salt) (one with Test and one with Reference formulations) were administered to each volunteer in two subsequent study periods, separated by wash-out intervals of 5 days.<br>",CROSS SA (this is the full name of the primary sponsor),Nephropathic cystinosis,nan,nan
ACTRN12617000147381,Trans-nasal Humidified Rapid- Insufflation Ventilatory Exchange in Children Requiring Emergent Intubation  (Kids THRIVE): A Randomised Controlled Trial.,Nil Known,Trans-nasal Humidified Rapid- Insufflation Ventilatory Exchange in Children Requiring Emergent Intubation  (Kids THRIVE): A Randomised Controlled Trial.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"- Ist zum Zeitpunkt der Randomisierung weniger als 16 Jahre alt

- Erfordert eine Schnellfolgeinduktion (RSI) oder eine modifizierte RSI* für die Notfall-Intubation und -Beatmung entweder in der Notaufnahme oder auf der Intensivstation 
* Modifizierte RSI ist definiert als die Bereitstellung von Beatmungsunterstützung durch Beutelmaskenbeatmung oder eine andere Methode während der Präoxygenierungsphase der Narkoseeinleitung","- Geplante Änderungen am Endotrachealtubus
- Erfordert eine sofortige Intubation bei Verlust des Herzzeitvolumens oder Atemstillstand.
- Der Ort der Intubation befindet sich außerhalb der Notaufnahme oder der Intensivstation.",Transnasal Humidified Rapid-Insufflation Ventilatory Exchange (THRIVE) used during induction of anaesthesia and prior to intubation in children during emergency intubations. THRIVE allows continued  oxygen delivery via high flow nasal cannual during intubation attempt; from the time the face mask is removed to successful intubation. Whereas after the traditional pre-oxygenation technique once the face mask is removed for intubation the oxygen reservoir is no longer renewed.  The rate of oxygen delivered will be dependant of weight with an FiO2 of 1.0 using Optiflo registered trademark device. These will be set up only to deliver an Fi02 of 1.0. <br><br>HFNC Flow ratesComments<br>0-12 kg     2L/kg/min(Max 25 L/min)<br>13-15kg     30L/min<br>15-30 kg     35L/min<br>30-50 kg     40L/min<br>>50 kg     50L/min<br><br><br>,Queensland Children's Hospital,Airway Management; <br>Airway Management;Respiratory - Other respiratory disorders / diseases,nan,nan
ACTRN12619001328167,The BONANZA trial- a randomised controlled trial that is testing whether a management strategy guided by early brain tissue oxygen monitoring in patients in with severe traumatic brain injury improves long term neurological and functional outcomes.,ANZICS-CTG: CTG1718-05,"The BONANZA Trial -a randomised controlled trial in patients with severe traumatic brain injury that will determine whether a neuro-intensive care management strategy guided by continuous brain tissue oxygen (PbtO2) monitoring and intracranial pressure (ICP) monitoring  will improve neurological and functional outcomes at 6 months measured by the GOSE, when compared to standard care using ICP monitoring alone.","- Schweres stumpfes Schädelhirntrauma
- Notwendigkeit einer Hirndrucksonde zur Überwachung
- >18 Jahre alt","- Schwangere
- vorbestehende neurologische Einschränkung
- anhaltend tiefer Blutdruck oder periphere Sauerstoffsättigung trotz Therapie","Patients in the intervention arm will have continuous PbtO2 and ICP monitoring.  Cerebral hypoxic episodes will be treated according to the BONANZA PbtO2 optimisation strategy. The PbtO2 treatment algorithm is a set of physiologic interventions that vary depending on the clinical scenario. The physiological interventions are tiered in a hierarchical fashion, with less aggressive interventions attempted before more aggressive manoeuvres. <br>Three abnormal clinical scenarios are possible:<br>1.Isolated intracranial hypertension: PbtO2 is greater than or equal to 20 mmHg and ICP is greater than target.<br>2.Isolated cerebral hypoxia: PbtO2 is less than 20 mmHg and ICP is within the satisfactory range.<br>3.Simultaneous cerebral hypoxia and intracranial hypertension: PbtO2 is less than 20 mmHg and ICP is greater than target.<br>All therapies are administered when the patient is in intensive care.<br>Tier 1 therapies include sedation and analgesia. A broad range of agents may be used, most commonly Propofol, Midazolam, Morphine and Fentanyl.  Vasopressors or drugs that are used to improve blood pressure may also be given in order to improve blood flow to the brain. Commonly used vasopressors are Noradrenaline and Adrenaline. Osmotherapy may also be administered to reduce the water content of the brain and reduce brain swelling. Commonly used osmotics include Mannitol and Hpertonic saline. The doses of all these drugs mentioned are variable and are usually given via an infusion that is titrated according to the patients response.<br>Tier 2 therapies include  the use of neuromuscular blockade agents like Cisatracurium. The dose is variable and may be given intermittently as a bolus or via infusion depending on each patient scenario. Other tier 2 therapies include blood tra","Australian and New Zealand Intensive Care Research Centre, School of Public Health and Preventive Medicine, Monash University",Severe traumatic brain injury; <br>Severe traumatic brain injury;Injuries and Accidents - Other injuries and accidents;Neurological - Other neurological disorders,nan,nan
ACTRN12619001632189,ErythroPOietin Alfa to Prevent Mortality and Reduce Severe Disability in Critically Ill TRAUMA Patients (EPO-TRAUMA),nan,"A randomised, double blind, placebo-controlled trial to determine the effect of erythropoietin alfa compared with placebo on death and severe disability in mechanically ventilated critically ill patients following traumatic injury.","Alter über 18 und unter 75 Jahre
Zeitraum hat 24 Stunden nach dem Unfall nicht überschritten
Patienten müssen mit Hilfe eines künstlichen Atemweges mechanisch beatmet sein","Patienten, welche tief komatös sind und keine Pupillenreflexe (Reaktion der Pupillen auf Licht) haben
Patienten mit einer Thrombose (= Blutgerinnsel in der Vene, meistens in den tiefen Venen in den Beinen oder Becken) oder einer Embolie (= Blutgerinnsel, welches sich in einer Vene gebildet hat und von dort aus «gewandert» ist, zumeist in die Lunge) in den letzten 12 Monaten, oder welche eine Blutverdünnung wegen Thrombose oder Embolien erhalten
Patienten mit bekannter Störung der Blutgerinnung im Sinne einer erhöhten Blutgerinnung/Thromboseneigung, einschliesslich Krebserkrankungen.","Epoetin alfa 40,000IU subcutaneously administered within 24 hours of injury. Additional dose of study a drug administered on Day 8 if none of the withholding criteria are met. Study drug is withheld if the Hb concentration is greater than 120 g/L. Intervention will be in major hospitals.",Monash University,Trauma;Critical Illness; <br>Trauma <br>Critical Illness;Injuries and Accidents - Other injuries and accidents;Emergency medicine - Other emergency care,nan,nan
ACTRN12620000047998,Crying Unsettled and disTressed Infants: Effectiveness Study of osteopathic care,None;,"A pragmatic randomised controlled trial to test the effectiveness and cost of osteopathic light touch manual therapy on crying time in healthy infants who are unduly distressed, unsettled and crying excessively.","L'étude concerne des nourrissons (de 1 à 10 semaines) en bonne santé et en pleine forme, mais qui pleurent excessivement, sont en détresse ou déstabilisés, ou sont agités et difficiles à consoler. Les pleurs excessifs sont définis comme des pleurs pendant plus de 3 heures par jour, plus de 3 jours par semaine pendant plus d'une semaine.","Les nourrissons ne peuvent pas être inclus s'ils présentent des signes qui nécessitent une attention ou un traitement médical avant l'inscription, s'ils ont déjà reçu un traitement ostéopathique, s'ils n'ont pas de tension dans leur corps comme le palpe l'ostéopathe, ou si aucun des des parents ne puisse comprendre et lire l'allemand, le français, l'Italien ou l'anglais.","<br>                Light touch osteopathic care and advice.<br>                The intervention arm of the trial involves light osteopathic touch intended to target specific areas of the baby's body according to the baby's needs, to reduce tension in the soft tissues and promote circulation. This arm will be referred to as the Targeted Tension Release (TTR) arm. An osteopaths hands are placed gently on the infant to palpate and deliver targeted light touch therapy for 10-20 minutes. This is usual osteopathic care delivered by a trained, registered and statutory regulated osteopathic practitioner, with a minimum of one years post graduate experience who sees on average one infant per week. One to four treatments can be administered depending on the needs of the infant and the parent(s) over a 14 day period.<br>                Private practice clinics will be used to recruit participants.<br>                Advice and guidance will be in accordance with the National Institute of Health Research and Excellence, UK (www.nice.org.uk Clinical Knowledge Summary Infant Colic 2017 and Postnatal care: Routine postnatal care of women and their babies (NICE Guideline, 2015). Advice and guidance will be given verbally as appropriate during the consultations which will be dependent on the needs of the parent and infant.<br>                Trial osteopaths will receive specific training over one day before they are evaluated and included in the study. A random sample of osteopaths will be observed to check fidelity of intervention delivery and 50% of participant records will be reviewed.<br><br>",University College of Osteopathy,Alternative and Complementary Medicine - Other alternative and complementary medicine<br>Infantile colic; <br>Infantile colic<br>Reproductive Health and Childbirth - Childbirth and postnatal care<br>,nan,nan
DRKS00003251,Mobilization of CD34+ cells with standard or reduced dose filgrastim after vinorelbine in multiple myeloma patients. A randomized prospecitve single center phase II study.,Swissmedic 2011DR2099,Mobilization of CD34+ cells with standard or reduced dose filgrastim after vinorelbine in multiple myeloma patients. A randomized prospecitve single center phase II study. - ONK-USZ-002,"Patienten die für eine Stammzelltransplantation vorgesehen sind

Patienten die Vinorelbine für die Stammzellmobilisation erhalten","Allergie auf Filgrastim

Aktive Hepatitis B/C oder HIV Infektion","Group 1: Standard Arm A: <br>Filgrastim (Neupogen?) 5 ?g/kg BW, BID, s.c, Start on day 4 overall 9 injections.<br><br>Group 2: Experimental Arm B:<br>Filgrastim (Neupogen?) 5 ?g/kg BW, BID, s.c, Start on day 4 overall 5 injections.<br>",Universit?t Z?rich,<br>C90.0;Multiple myeloma;C90.0,Universit?tsSpital Z?rich,Universit?tsSpital Z?rich
DRKS00004598,Whole-brain irradiation with hippocampal sparing and dose escalation on metastases: neurocognitive testing and biological imaging,108/16,Whole-brain irradiation with hippocampal sparing and dose escalation on metastases: neurocognitive testing and biological imaging - HIPPORAD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"1. Rechtsfähigkeit, Patient ist in der Lage, die Art, Bedeutung und zu verstehen
Folgen des Prozesses
2. Mindestens 4 Hirnmetastasen von soliden Tumoren mit mindestens einer, jedoch nicht
über 10 Metastasen ≥ 5 mm (d. h. für eine Dosissteigerung geeignet)
3. RPA-Klassifikation I oder II","1. Teilnahme an einer klinischen Studie innerhalb der letzten 30 Tage vor deren Beginn
Studie, vorherige Teilnahme 
2. Zerebrale Lymphome, Metastasen von Keimzelltumoren, SCLC
3. Akute neurologische Symptome, die einen sofortigen Beginn der RT erfordern",Intervention 1: Whole brain radiotherapy (WBRT) with concomitant boost on the metastases and with hippocampal avoidance (HA). Intervention 2: Whole brain radiotherapy (WBRT) with concomitant boost on the metastases without hippocampal avoidance (HA).,Universitätsklinikum Freiburg,;C71 - Malignant neoplasm of brain,Klinik für StrahlenheilkundeUniversitätsklinikum Freiburg,Klinik für StrahlenheilkundeUniversitätsklinikum Freiburg
DRKS00004897,"Randomized multicenter trial to compare standard lobectomy versus anatomical segmentectomy each plus radical lymphadenectomy in patients with Non-Small Cell Lung Cancer (NSCLC) pT1a pN0 cM0, Stage IA",13-5520-BO,"Randomized multicenter trial to compare standard lobectomy versus anatomical segmentectomy each plus radical lymphadenectomy in patients with Non-Small Cell Lung Cancer (NSCLC) pT1a pN0 cM0, Stage IA - SevLoT1a","- 41-80 Jahre
- NSCLC kleiner 2 cm Durchmessser
- keine Lymphknotenmetastasen
- tumorfreie Resektionsränder, min. 2 cm
- Lungenfunktion, die eine Lobektomie zulässt
- muss in der Lage sein, seine schriftliche Zustimmung zur Studie zu geben, deutsche Sprache in Wort und Schrift","- jeder Lymphknotenbefall
- Tumorgröße über 2 cm Durchmesser
- bekanntes Zweitmalignom
- bekannte Bestrahlung/ Chemotherapie innerhalb der letzten 5 Jahre
- Psychatrische oder andere Erkankung, die verhindert, dass der Patient schrifltich in die Studie einwilligt oder nicht am Follow-up teilnehmen kann
- NSCLC des Mittellappens (aus technischen Gründen)
- Schwangerschaft",Group 1: lobectomy and lymphadenectomy<br>Group 2: segmentectomy and lymphadenectomy,Uniklinikum Essen,<br>C34;Malignant neoplasm of bronchus and lung,"Ruhrlandklinik - Das Lungenzentrum,Klinik f?r Thoraxchirurgie und thorakale Endoskopie",Ruhrlandklinik - Das LungenzentrumKlinik f?r Thoraxchirurgie und thorakale Endoskopie
DRKS00005113,Randomised trial comparing completeness of adjuvant chemotherapy after earlyvs. late diverting stoma closure in low anterior resection for rectal cancer,2011-271N-MA,Randomised trial comparing completeness of adjuvant chemotherapy after earlyvs. late diverting stoma closure in low anterior resection for rectal cancer - CoCStom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"- temporäres Stoma (unabhängig von Stomaart) nach kurativer Rektumresektion (UICC II – III);
- keine Anastomoseninsuffizienz (Kontrolle mittels Sigmoidoskopie oder Kontrastmitteldarstellung 7 Tage nach der Rektumresektion);
- Indikation zur adjuvanten Chemotherapie;
Männliche und weibliche Patienten ab 18 Jahren;","- immunkompromittierte Patienten (z.B. HIV-positiven Patienten; Chemotherapie oder Immunsuppression z.B: Prednison >=10mg/d)
- ASA > 3
- chronische Darmentzündung
- Kontraindikation zur adjuvanten Chemotherapie, entstanden nach der Rektumresektion",Intervention 1: Early stoma closure (experimental group): 8-10 days after tumor resection (LAR) followed by chemotherapy Intervention 2: Late stoma closure (control group): 25 weeks after randomisation and after receiving the planned chemotherapy.,"Chirurgische Klinik, Universitätsklinikum Mannheim",;C20 - Malignant neoplasm of rectum,"Chirurgische Klinik, Universitätsklinikum Mannheim","Chirurgische und III. Medizinische Klinik, Universitätsmedizin Mannheim"
